company,work_format,requirements,salary_num
МТС Банк,Офис / Гибрид,"Linux, Docker, GitLab, Kubernetes, CI/CD",
Лаборатория Касперского,Офис / Гибрид,Ручное тестирование,
True Engineering,Офис / Гибрид,"JavaScript, TypeScript, React",
True Engineering,Офис / Гибрид,"Figma Design, Веб-дизайн, Прототипирование, Проектирование интерфейсов, Дизайн продукта",
IT-hunter,Офис / Гибрид,"Python, PHP, Linux, Docker, CI/CD",
СОГАЗ,Офис / Гибрид,"SDL/SDLC, CI/CD",
Лаборатория Касперского,Офис / Гибрид,DevOps,
ТТК Диджитал,Офис / Гибрид,"Swagger, Postman, Ручное тестирование, Функциональное тестирование, Регрессионное тестирование, Разработка тест-кейсов, Тестирование API, Тестирование мобильных приложений, Charles",
YADRO,Офис / Гибрид,"Linux, OSPF, BGP",
YADRO,Офис / Гибрид,"Linux, Docker, Python, Pytest, Jenkins, Bash",
BGStaff,Офис / Гибрид,Техническая поддержка,39000
IBS,Офис / Гибрид,Python,
Intellectual management systems,Офис / Гибрид,"Kotlin, Kotlin Multiplatform, Jetpack Compose, Разработка мобильных приложений, Разработка под Android, Coroutines, Android studio, Клиент-серверные приложения",375000
IBS,Офис / Гибрид,Java,
IBS,Офис / Гибрид,Apache JMeter,
Финам,Офис / Гибрид,"Docker, Linux, Kubernetes, LLM, n8n",
YADRO,Офис / Гибрид,"Golang, Linux",
YADRO,Офис / Гибрид,"Python, Linux, Pytest, Asyncio, BGP, OSPF, Сетевые технологии",
IBS,Офис / Гибрид,Java,
Контур,Офис / Гибрид,"Ansible, CI/CD, Python, Kubernetes, Docker",
CHOICEIT,Офис / Гибрид,"Python, NumPy, PyTorch",
Яндекс,Офис / Гибрид,"Golang, PostgreSQL, LLM",
БЮРО 1440,Офис / Гибрид,"Linux kernel, Embedded linux, Yocto Project, C++, C",
Вкусно - и точка,Офис / Гибрид,Kubernetes,
SimbirSoft,Офис / Гибрид,"Python, LLM",
РОСГОССТРАХ,Офис / Гибрид,"LLM, Работа в команде",
МТС Банк,Офис / Гибрид,"SQL, Python",
ИТ Контакт,Офис / Гибрид,"SQL, Python, Grafana, Swagger, Тестирование API, Postman",
Абарус,Офис / Гибрид,"Python, Bash, CI/CD, Linux, Docker, Osi model, TCP, Zabbix, Администрирование Linux, Сетевые технологии",100000
Top Selection,Офис / Гибрид,Python,
Marfatech,Офис / Гибрид,"Linux, REST, SQL",
Vital Partners,Офис / Гибрид,"AmoCRM, Продажи",
ДОМ.РФ,Офис / Гибрид,"Kubernetes, Apache Kafka, DevOps, Ansible, Terraform",
Top Selection,Офис / Гибрид,"n8n, REST, PostgreSQL, SQL",260000
Лаборатория Касперского,Офис / Гибрид,"Бизнес аналитика, Системный анализ",
