source,title,company,city,work_format,requirements,salary,link
Habr Career, .Net Developer,Aston,Не указан,Офис / Гибрид,"Apache Kafka, Microsoft SQL Server, ASP.NET WEB API, .NET",,https://career.habr.com/vacancies/1000168106
Habr Career,BI Developer/BI разработчик,Aston,Не указан,Офис / Гибрид,"SQL, Базы данных, Python, Pandas, Tableau, PowerBI",,https://career.habr.com/vacancies/1000166987
Habr Career,Java Developer (AI / GenAI),СберСпасибо,Не указан,Офис / Гибрид,JavaScript,,https://career.habr.com/vacancies/1000168406
Habr Career,1C Developer,Aston,Не указан,Офис / Гибрид,Разработка под 1С,от 70 000 до 104 000 ₽,https://career.habr.com/vacancies/1000166519
Habr Career,Solution Architect,"АстраЗенека, Россия и Евразия",Не указан,Офис / Гибрид,"Docker, PostgreSQL, Redis, Kubernetes, REST",,https://career.habr.com/vacancies/1000165981
Habr Career,Golang-разработчик в команду инструментов продуктовой аналитики,Т-Банк,Не указан,Офис / Гибрид,"PostgreSQL, Apache Kafka, Apache Cassandra, Prometheus, Golang, Kubernetes",,https://career.habr.com/vacancies/1000166831
Habr Career,ML Engineer,Aston,Не указан,Офис / Гибрид,"Apache Kafka, Сеть хранения данных, REST, JSON, HTTP, WebSockets, RESTful API, Langgraph, Git, Docker",,https://career.habr.com/vacancies/1000166528
Habr Career, QA Automation Engineer (Python),Aston,Не указан,Офис / Гибрид,"Python, Apache Kafka, Apache JMeter",,https://career.habr.com/vacancies/1000168591
Habr Career,Product Manager (Сегменты),СберЗдоровье,Не указан,Офис / Гибрид,Проведение исследований,,https://career.habr.com/vacancies/1000168646
Habr Career,Аналитик,True Engineering,Не указан,Офис / Гибрид,"SQL, PostgreSQL, Системный анализ, Бизнес аналитика, BPMN, UML, Анализ требований, ER-диаграммы",,https://career.habr.com/vacancies/1000168383
Habr Career,Senior AppSec-инженер,Золотое Яблоко,Не указан,Офис / Гибрид,"OWASP, Тестирование на проникновение, Burp Suite",,https://career.habr.com/vacancies/1000168447
Habr Career,ML-инженер,ГНИВЦ,Не указан,Офис / Гибрид,"Git, PostgreSQL, Python",,https://career.habr.com/vacancies/1000166282
Habr Career, Performance Engineer,Aston,Не указан,Офис / Гибрид,"Apache JMeter, Linux",,https://career.habr.com/vacancies/1000168376
Habr Career,Solutions Architect,Aston,Не указан,Офис / Гибрид,"Микросервисная архитектура, ArchiMate, Высоконагруженные системы, REST, Apache Kafka, RabbitMQ, SOAP, Java",,https://career.habr.com/vacancies/1000166530
Habr Career,"AI application security engineer, middle+/senior",Контур,Не указан,Офис / Гибрид,"LLM, Linux",,https://career.habr.com/vacancies/1000168057
Habr Career,CTO «Интерактивные AI-сервисы»,СберЗдоровье,Не указан,Офис / Гибрид,"RnD, LLM, Agentic systems ",,https://career.habr.com/vacancies/1000168654
